Address,Building Name,AKA,Accessible Entry?,Accessible Restroom?,Public Elevator?,Comment,What you can find? (List of strings),Floor Plans (String or pdf)  x
123 South Main Street,Hesselgrave House,,no,no,no,,,
531 College Street,Franklin Environmental Center at Hillcrest,Hillcrest,yes,yes,yes,,,http://www.middlebury.edu/media/view/81181/original/Hillcrest_1st_floor_2009.pdf
78 Chateau Road,Johnson Memorial Building,Johnson,no,no,no,,,http://www.middlebury.edu/media/view/81241/original/Johnson_Memorial_2nd_Floor_Pit.pdf
217 Golf Course Road,Kirk Alumni Center,,yes,yes,no,main level conference area only,,http://www.middlebury.edu/media/view/81281/original/Kirk_Alumni_Center.pdf
152 College Street,Kitchel House,,yes,yes,no,,,
72 Porter Field Road,Mahaney Center For The Arts,CFA,yes,yes,yes,several green rooms do not have accessible restrooms,,http://www.middlebury.edu/media/view/81091/original/CFA_2nd_floor.pdf
72 Porter Field Road,Mahaney Center For The Arts (first floor),Middlebury Art Museum,,,,,,http://www.middlebury.edu/media/view/81081/original/CFA_1st_floor.pdf
152 Maple Street,Marble Works (152 Maple St.),,yes,no,yes,,,
276 Bicentennial Way,McCardell Bicentennial Hall,BiHall,yes,yes,yes,"library restrooms not accessible, no restrooms at roof, no access to observatory","[""Observatory""]",http://www.middlebury.edu/media/view/249612/original/McCardell_BiHall_1st_floor.pdf
14 Old Chapel Road,McCullough Student Center,McCullough,yes,yes,yes,3rd floor west tower space is not accessible,"[""The Grille"", ""Midd Express"", ""Crossroads"", ""Wilson Hall"", ""Mail Center""]",http://www.middlebury.edu/media/view/81811/original/McCullough_Crest_Room-3rd_floor.pdf
14 Old Chapel Road,Mitchell Green Lounge,,,,,,,http://www.middlebury.edu/media/view/81821/original/McCullough_Mitchell_Green_Lnge.pdf
75 Hepburn Road,Mead Chapel,,yes,no,no,"no public restrooms, back of house not accessible",,http://www.middlebury.edu/media/view/81831/original/Mead_1st_floor.pdf
75 Hepburn Road,Mead Chapel (basement),,no,no,no,,,http://www.middlebury.edu/media/view/81841/original/Mead_Chapel_Basement_floor.pdf
427 College Street,Munroe Hall,,no,no,no,,,
9 Old Chapel Road,Old Chapel,,yes,yes,yes,accessible entry faces the library,,
3 Mill Street,Old Mill,,no,no,no,,,
2 Court Street,Painter House,,yes,no,no,main level only,,
3 South Street,President's House,,yes,yes,no,first floor only,,
58 Hepburn Road,Proctor Hall,,yes,yes,yes,,"[""Bookstore""]",
809 College Street,Ginevan Recycling Center,,yes,no,no,no public restrooms,,
148 Hillcrest Road,Robert A. Jones House,RAJ,yes,yes,yes,,,http://www.middlebury.edu/media/view/83511/original/RAJ_2009_Floor_plan.pdf
26 Blinn Lane,Ross Commons House,,yes,yes,no,first floor only,,
Ross Dining Hall,Ross Commons Dining,,yes,yes,yes,,,
84 South Service Road,Service Building,,yes,yes,yes,ground and 2nd floor only,"[""Financial Aid Office""]",
95 South Main Street,"95 South Main Street, School of Hebrew",,no,no,no,,,
118 South Main Street,118 South Main Street,,yes,yes,no,first floor only,,
125 South Main Street,Public Safety,PubSafe,yes,yes,yes,,,
356 College Street,Sunderland Language Center,,yes,yes,no,first floor only,"[""Dana Auditorium""]",http://www.middlebury.edu/media/view/83671/original/Sunderland_1st_floor.pdf
50 Franklin Street,Twilight Hall,,yes,no,yes,restrooms could be accessible with modifications,,http://www.middlebury.edu/media/view/83681/original/Twilight_1st_floor.pdf
303 College Street,Warner Science,,no,no,no,,,http://www.middlebury.edu/media/view/83691/original/Warner_Hemi-2nd_floor.pdf
47 South Service Road,White Metal Building,,no,no,no,,,
115 Franklin Street,Wonnacott Commons,,no,no,no,,,
96 Chateau Road,Wright Theatre,,yes,yes,no,"first floor only, theater space not compliant",,http://www.middlebury.edu/media/view/83721/original/Wright_Theatre_1st_floor_2009.pdf
